epoch,learning_rate,loss,mae,rmse,val_loss,val_mae,val_rmse
0,9.999999747378752e-06,8.228604316711426,2.1032869815826416,2.6902308464050293,5.7978291511535645,1.8058712482452393,2.192709445953369
1,9.999999747378752e-06,7.292788028717041,1.9677081108093262,2.5107598304748535,5.29226016998291,1.6883372068405151,2.074674367904663
2,9.999999747378752e-06,7.048111915588379,1.9323441982269287,2.461872100830078,4.614251613616943,1.5377593040466309,1.9046276807785034
3,9.999999747378752e-06,6.579792022705078,1.867904543876648,2.3651108741760254,3.8207802772521973,1.3314688205718994,1.683842658996582
4,9.999999747378752e-06,6.368448734283447,1.8306171894073486,2.320248603820801,3.313328504562378,1.1851763725280762,1.5261030197143555
5,9.999999747378752e-06,6.569559097290039,1.8542938232421875,2.3634181022644043,3.0302953720092773,1.1112185716629028,1.43073308467865
6,9.999999747378752e-06,6.242517471313477,1.8103954792022705,2.293407678604126,2.7870984077453613,1.0412474870681763,1.3434215784072876
7,9.999999747378752e-06,6.186805248260498,1.8020328283309937,2.281438112258911,2.7718608379364014,1.0402734279632568,1.3380858898162842
8,9.999999747378752e-06,6.132974624633789,1.7932872772216797,2.2698051929473877,2.7924187183380127,1.05576491355896,1.3460612297058105
9,9.999999747378752e-06,6.337775230407715,1.8146029710769653,2.314656972885132,2.6598002910614014,1.0143014192581177,1.2961691617965698
10,9.999999747378752e-06,5.909251689910889,1.7447819709777832,2.220336437225342,2.562392473220825,0.9755359888076782,1.2583407163619995
11,9.999999747378752e-06,6.0671281814575195,1.7807003259658813,2.25577712059021,2.5518579483032227,0.9764414429664612,1.2544448375701904
12,9.999999747378752e-06,6.048555374145508,1.7796094417572021,2.2518177032470703,2.5658485889434814,0.9665034413337708,1.2602927684783936
13,9.999999747378752e-06,5.552369594573975,1.6886996030807495,2.138974189758301,2.440633535385132,0.9237067103385925,1.2098873853683472
14,9.999999747378752e-06,5.834163665771484,1.7382047176361084,2.2040200233459473,2.440133810043335,0.9157970547676086,1.2099663019180298
15,9.999999747378752e-06,5.770740032196045,1.715267539024353,2.1897406578063965,2.3585798740386963,0.9008802175521851,1.1760715246200562
16,9.999999747378752e-06,5.9447479248046875,1.7682746648788452,2.229269027709961,2.3945045471191406,0.9182890057563782,1.1915249824523926
17,9.999999747378752e-06,5.762226581573486,1.7220953702926636,2.188098907470703,2.430772066116333,0.9408555626869202,1.206913948059082
18,9.999999747378752e-06,5.834761142730713,1.7294552326202393,2.2047581672668457,2.410184383392334,0.9367983937263489,1.1986231803894043
19,9.999999747378752e-06,5.591773509979248,1.705106496810913,2.1490933895111084,2.4128968715667725,0.9582228064537048,1.2000190019607544
20,9.999999747378752e-06,5.627349376678467,1.6857587099075317,2.1575026512145996,2.3508460521698,0.9307761788368225,1.1741539239883423
21,9.999999747378752e-06,5.733780860900879,1.7154338359832764,2.182176351547241,2.5981435775756836,1.015191912651062,1.2753734588623047
22,9.999999747378752e-06,5.832115650177002,1.7316913604736328,2.2047364711761475,2.3733716011047363,0.9293200969696045,1.1842471361160278
23,9.999999747378752e-06,5.6646857261657715,1.724116563796997,2.1665821075439453,2.449558734893799,0.9724107384681702,1.2162528038024902
24,9.999999747378752e-06,5.554075717926025,1.6972204446792603,2.141052484512329,2.2926454544067383,0.9109619855880737,1.1502143144607544
25,9.999999747378752e-06,5.535697937011719,1.6748119592666626,2.136906623840332,2.3092265129089355,0.904515266418457,1.1576807498931885
26,9.999999747378752e-06,5.654206275939941,1.6990824937820435,2.1646080017089844,2.257594585418701,0.8929606676101685,1.13544762134552
27,9.999999747378752e-06,5.34677791595459,1.6494930982589722,2.092546224594116,2.3037943840026855,0.9159849286079407,1.1558961868286133
28,9.999999747378752e-06,5.516325950622559,1.678636074066162,2.1328279972076416,2.2328007221221924,0.8953187465667725,1.125060796737671
29,9.999999747378752e-06,5.371717929840088,1.6551721096038818,2.098813056945801,2.495765447616577,1.0119723081588745,1.2366887331008911
